Date,Close,Open,High,Low,Volumn
2019-02-10,98200,98200,98200,98200,-
2019-02-08,98200,98700,99100,98100,314.02K
2019-02-07,99000,100000,100000,98700,306.90K
2019-02-06,99600,99600,99600,99600,-
2019-02-01,99600,99400,100500,99200,347.43K
2019-01-31,99300,100500,100500,98800,544.56K
2019-01-30,99900,102000,102500,99500,563.26K
2019-01-29,102000,101500,102000,101000,224.60K
2019-01-28,102000,103000,104000,101500,275.08K
2019-01-27,102500,102500,102500,102500,-
2019-01-25,102500,101500,103000,101000,354.46K
2019-01-24,102000,102500,103500,101000,282.03K
2019-01-23,102500,101500,103000,100500,359.29K
2019-01-22,102000,99400,102500,99300,447.66K
2019-01-21,98800,99900,100000,98700,252.03K
2019-01-20,99600,99600,99600,99600,-
2019-01-18,99600,99000,99900,98900,290.79K
2019-01-17,98500,100000,102000,98500,434.31K
2019-01-16,100000,100500,101000,99800,216.77K
2019-01-15,99900,100000,102500,99500,379.30K
2019-01-14,100000,102000,102000,99800,241.94K
2019-01-13,102000,102000,102000,102000,-
2019-01-11,102000,101000,103500,101000,180.01K
2019-01-10,101000,101000,103000,100500,289.89K
2019-01-09,102000,100500,102500,100000,356.40K
2019-01-08,99900,102500,103000,99500,449.57K
2019-01-07,103000,105000,107000,102000,376.28K
2019-01-06,103500,103500,103500,103500,-
2019-01-04,103500,102000,104000,101500,250.84K
2019-01-03,102500,102500,105500,100500,293.72K
2019-01-02,102000,103500,105000,101500,172.53K
2019-01-01,103000,103000,103000,103000,-
2018-12-28,103000,101000,104500,101000,190.54K
2018-12-27,101500,100500,102000,100000,216.63K
2018-12-26,98500,99000,100500,98000,491.63K
2018-12-25,101000,101000,101000,101000,-
2018-12-24,101000,104500,104500,100000,318.78K
2018-12-23,104500,104500,104500,104500,-
2018-12-21,104500,102500,104500,101000,428.86K
2018-12-20,103000,107000,107000,101000,578.50K
2018-12-19,108000,108500,109000,106000,217.76K
2018-12-18,108500,108500,111000,107000,188.51K
2018-12-17,110500,110000,112000,108500,172.86K
2018-12-16,110000,110000,110000,110000,-
2018-12-14,110000,110500,111500,109000,188.75K
2018-12-13,111500,111500,114500,110500,494.12K
2018-12-12,110000,107000,111000,105500,393.19K
2018-12-11,107000,110000,110500,106500,460.34K
2018-12-10,111000,113000,113500,110000,329.98K
2018-12-09,114500,114500,114500,114500,-
2018-12-07,114500,116500,117000,112000,353.83K
2018-12-06,116000,115000,117500,114500,395.10K
2018-12-05,114500,112000,115000,111500,221.56K
2018-12-04,113500,114000,115000,113000,262.87K
2018-12-03,113500,114500,115000,112500,261.35K
2018-12-02,112500,112500,112500,112500,-
2018-11-30,112500,112000,113000,111500,346.40K
2018-11-29,112000,113000,114000,111000,262.62K
2018-11-28,112000,111500,113000,111000,185.19K
2018-11-27,110500,113000,114000,110000,270.01K
2018-11-26,112500,107500,113000,107500,456.27K
2018-11-25,108000,108000,108000,108000,-
2018-11-23,108000,107000,109500,106000,242.13K
2018-11-22,106500,107000,107500,106000,143.23K
2018-11-21,107500,105000,107500,104500,205.19K
2018-11-20,107000,106500,107500,105000,234.48K
2018-11-19,107000,102500,107500,102500,345.89K
