,date,close,diff,open,high,low,volume
798,2018-07-10,117000,500,117500,118000,116000,222321
797,2018-07-11,116500,500,116000,117000,115000,250313
796,2018-07-12,117500,1000,117000,118000,115500,444272
793,2018-07-13,118000,500,118000,119000,116500,302155
792,2018-07-16,116500,1500,118000,118500,115500,236711
791,2018-07-17,114000,2500,116000,116500,113500,372754
790,2018-07-18,113000,1000,115000,116500,112000,351263
789,2018-07-19,114000,1000,113000,115500,112500,267375
785,2018-07-20,115000,1000,114000,115500,113000,184967
784,2018-07-23,115500,500,115000,117000,113500,346894
783,2018-07-24,117000,1500,115500,118000,115000,502533
782,2018-07-25,118000,1000,117500,118000,116000,310394
781,2018-07-26,117500,500,118000,118500,116000,262125
778,2018-07-27,119500,2000,117500,120000,116500,568921
777,2018-07-30,116500,3000,118500,119000,116000,308410
776,2018-07-31,112500,4000,115000,116000,111500,654749
775,2018-08-01,112500,0,112500,113500,111500,276459
774,2018-08-02,111000,1500,112500,115000,111000,311779
770,2018-08-03,113000,2000,111500,113000,111500,169521
769,2018-08-06,113500,500,113500,114500,112500,189971
768,2018-08-07,120000,6500,114000,120000,113000,742353
767,2018-08-08,119000,1000,122000,124500,118000,1216684
766,2018-08-09,125500,6500,121000,126000,119500,1622449
763,2018-08-10,128000,2500,125500,129500,124000,1269641
762,2018-08-13,124000,4000,126500,127500,122500,636617
761,2018-08-14,127500,3500,125000,128500,123000,518080
760,2018-08-16,127500,0,124500,128000,124000,478674
759,2018-08-17,127000,500,128500,129000,126500,327327
755,2018-08-20,124500,2500,127000,128000,124000,328660
754,2018-08-21,124000,500,125000,126500,124000,353528
753,2018-08-22,124500,500,125500,125500,122500,333939
752,2018-08-23,125500,1000,125000,126000,123500,292057
751,2018-08-24,124000,1500,125000,125000,123000,283256
748,2018-08-27,128000,4000,124000,128000,124000,588666
747,2018-08-28,125500,2500,127000,127500,123500,480764
746,2018-08-29,126500,1000,125000,127500,124000,750163
745,2018-08-30,126500,0,126500,128000,125500,313774
744,2018-08-31,125000,1500,124000,125500,123000,431909
740,2018-09-03,121500,3500,125000,125500,121000,460200
739,2018-09-04,122000,500,121500,123000,120500,268355
738,2018-09-05,121000,1000,122000,123500,121000,215419
737,2018-09-06,120000,1000,121500,122000,119000,299195
736,2018-09-07,120000,0,120000,120500,118500,206174
733,2018-09-10,119000,1000,119000,120500,118500,216152
732,2018-09-11,116500,2500,118500,118500,116000,424870
731,2018-09-12,120000,3500,116500,120500,116500,344739
730,2018-09-13,121000,1000,121000,122000,119500,407528
729,2018-09-14,120000,1000,120500,121000,118500,287642
725,2018-09-17,121500,1500,120500,121500,118000,359811
724,2018-09-18,120500,1000,122000,122500,120000,384132
723,2018-09-19,117000,3500,121000,121000,116500,664304
722,2018-09-20,117500,500,118000,119500,117000,308838
721,2018-09-21,118500,1000,121500,123500,118500,667099
718,2018-09-27,120500,2000,119000,121000,119000,275536
717,2018-09-28,119000,1500,120000,120500,119000,229927
716,2018-10-01,119500,500,120000,123500,119500,368677
715,2018-10-02,115500,4000,120500,121000,114500,615909
714,2018-10-04,112000,3500,114500,115500,111000,603136
710,2018-10-05,109000,3000,110500,111500,108500,479642
709,2018-10-08,107500,1500,107500,110500,107500,187871
708,2018-10-10,104000,3500,106500,108500,104000,516278
707,2018-10-11,98500,5500,100000,102000,98500,957608
706,2018-10-12,101000,2500,98500,102000,97600,537122
703,2018-10-15,99300,1700,101000,102000,99200,219792
702,2018-10-16,100500,1200,99300,101000,99300,183949
701,2018-10-17,100500,0,103000,103000,100000,302780
700,2018-10-18,100500,0,100000,101500,99700,173176
699,2018-10-19,101000,500,100000,102000,99100,268396
695,2018-10-22,102500,1500,101500,104000,100500,208316
694,2018-10-23,100500,2000,102500,103500,100000,194001
693,2018-10-24,99200,1300,101000,101500,98900,312593
692,2018-10-25,94200,5000,97300,97300,92000,1024715
691,2018-10-26,90900,3300,95000,95500,89900,653419
688,2018-10-29,87600,3300,89900,92400,87200,599252
687,2018-10-30,90500,2900,86000,91100,86000,521229
686,2018-10-31,91600,1100,90900,92800,89700,336787
685,2018-11-01,93100,1500,92000,95600,91900,372853
684,2018-11-02,98200,5100,95200,98500,94100,409600
680,2018-11-05,95500,2700,97000,97400,94700,339846
679,2018-11-06,96600,1100,95700,97500,95000,195992
678,2018-11-07,95600,1000,97100,97700,95200,269320
677,2018-11-08,100000,4400,97900,102000,97800,644793
676,2018-11-09,100500,500,100000,102000,98700,292309
673,2018-11-12,101000,500,101000,101500,100000,201208
672,2018-11-13,101500,500,98800,101500,98700,278476
671,2018-11-14,103000,1500,102500,104000,101500,281601
670,2018-11-15,104000,1000,102500,104000,101500,170612
669,2018-11-16,102500,1500,105000,106000,102000,206149
665,2018-11-19,107000,4500,102500,107500,102500,346393
664,2018-11-20,107000,0,106500,107500,105000,234825
663,2018-11-21,107500,500,105000,107500,104500,206018
662,2018-11-22,106500,1000,107000,107500,106000,143409
661,2018-11-23,108000,1500,107000,109500,106000,242633
658,2018-11-26,112500,4500,107500,113000,107500,460406
657,2018-11-27,110500,2000,113000,114000,110000,270808
656,2018-11-28,112000,1500,111500,113000,111000,185906
655,2018-11-29,112000,0,113000,114000,111000,263008
654,2018-11-30,112500,500,112000,113000,111500,346553
650,2018-12-03,113500,1000,114500,115000,112500,262030
649,2018-12-04,113500,0,114000,115000,113000,264857
648,2018-12-05,114500,1000,112000,115000,111500,222316
647,2018-12-06,116000,1500,115000,117500,114500,396531
646,2018-12-07,114500,1500,116500,117000,112000,354995
643,2018-12-10,111000,3500,113000,113500,110000,331087
642,2018-12-11,107000,4000,110000,110500,106500,461496
641,2018-12-12,110000,3000,107000,111000,105500,393740
640,2018-12-13,111500,1500,111500,114500,110500,494887
639,2018-12-14,110000,1500,110500,111500,109000,196803
635,2018-12-17,110500,500,110000,112000,108500,173155
634,2018-12-18,108500,2000,108500,111000,107000,188963
633,2018-12-19,108000,500,108500,109000,106000,218497
632,2018-12-20,103000,5000,107000,107000,101000,579446
631,2018-12-21,104500,1500,102500,104500,101000,429650
628,2018-12-24,101000,3500,104500,104500,100000,320266
627,2018-12-26,98500,2500,99000,100500,98000,492532
626,2018-12-27,101500,3000,100500,102000,100000,217247
625,2018-12-28,103000,1500,101000,104500,101000,190847
624,2019-01-02,102000,1000,103500,105000,101500,173462
620,2019-01-03,102500,500,102500,105500,100500,293989
619,2019-01-04,103500,1000,102000,104000,101500,251728
618,2019-01-07,103000,500,105000,107000,102000,378153
617,2019-01-08,99900,3100,102500,103000,99500,450462
616,2019-01-09,102000,2100,100500,102500,100000,357096
613,2019-01-10,101000,1000,101000,103000,100500,291573
612,2019-01-11,102000,1000,101000,103500,101000,180561
611,2019-01-14,100000,2000,102000,102000,99800,243305
610,2019-01-15,99900,100,100000,102500,99500,381581
609,2019-01-16,100000,100,100500,101000,99800,217209
605,2019-01-17,98500,1500,100000,102000,98500,434803
604,2019-01-18,99600,1100,99000,99900,98900,291588
603,2019-01-21,98800,800,99900,100000,98700,252620
602,2019-01-22,102000,3200,99400,102500,99300,448490
601,2019-01-23,102500,500,101500,103000,100500,360462
598,2019-01-24,102000,500,102500,103500,101000,282408
597,2019-01-25,102500,500,101500,103000,101000,355017
596,2019-01-28,102000,500,103000,104000,101500,275296
595,2019-01-29,102000,0,101500,102000,101000,225138
594,2019-01-30,99900,2100,102000,102500,99500,565397
590,2019-01-31,99300,600,100500,100500,98800,546040
589,2019-02-01,99600,300,99400,100500,99200,388183
588,2019-02-07,99000,600,100000,100000,98700,307297
587,2019-02-08,98200,800,98700,99100,98100,314884
586,2019-02-11,95600,2600,98500,98700,95300,906796
583,2019-02-12,96000,400,95600,96500,93300,599314
582,2019-02-13,98100,2100,96500,98900,95500,519566
581,2019-02-14,100500,2400,97800,101000,96100,849160
580,2019-02-15,101500,1000,101500,103500,100500,653634
579,2019-02-18,102000,500,102500,103000,101000,355745
575,2019-02-19,100000,2000,101500,102000,100000,231131
574,2019-02-20,99700,300,100500,101000,98500,387109
573,2019-02-21,98900,800,99800,101000,98800,328444
572,2019-02-22,99300,400,99500,100500,98800,294247
571,2019-02-25,98300,1000,99400,99800,98100,370483
568,2019-02-26,103500,5200,98400,103500,98400,1238902
567,2019-02-27,105000,1500,104500,105500,103000,551979
566,2019-02-28,103500,1500,105000,106500,103500,733261
565,2019-03-04,108500,5000,105500,109000,105000,853038
564,2019-03-05,106500,2000,108000,108000,105500,472504
560,2019-03-06,105500,1000,107000,108000,104000,298220
559,2019-03-07,104500,1000,105500,107000,103500,330354
558,2019-03-08,107500,3000,109000,109500,106500,792787
557,2019-03-11,106000,1500,108000,108000,104500,276026
556,2019-03-12,103500,2500,106500,107000,103500,380777
553,2019-03-13,104000,500,104000,106500,103500,240466
552,2019-03-14,106500,2500,105000,107500,104500,444051
551,2019-03-15,107500,1000,106500,108500,106500,463768
550,2019-03-18,107500,0,108000,108500,107000,197291
549,2019-03-19,102500,5000,107500,108500,102500,605054
545,2019-03-20,102000,500,103000,103500,100000,492001
544,2019-03-21,102500,500,102000,104000,101500,230173
543,2019-03-22,104000,1500,103000,104500,103000,239614
542,2019-03-25,102000,2000,102000,104000,101500,171747
541,2019-03-26,104000,2000,102500,105500,102000,257452
538,2019-03-27,102500,1500,104500,104500,102000,208707
537,2019-03-28,102500,0,102000,104000,102000,162966
536,2019-03-29,103500,1000,103000,104000,102500,153823
535,2019-04-01,103000,500,103500,104000,102000,216132
534,2019-04-02,103500,500,103500,104000,102000,227338
530,2019-04-03,102500,1000,103000,104000,102000,294101
529,2019-04-04,102500,0,102500,103000,101500,261063
528,2019-04-05,102500,0,102500,103000,102000,132105
527,2019-04-08,102000,500,103000,103500,101500,203479
526,2019-04-09,100500,1500,102000,102000,100000,383038
523,2019-04-10,102500,2000,101000,103000,100500,263334
522,2019-04-11,102500,0,103000,103000,101500,253796
521,2019-04-12,102500,0,102500,102500,101500,162349
520,2019-04-15,110500,8000,104000,110500,103000,1228969
519,2019-04-16,117500,7000,113500,118000,112500,1744272
515,2019-04-17,117500,0,117000,119000,115500,653103
514,2019-04-18,116500,1000,119000,119500,116000,443925
513,2019-04-19,117000,500,117000,119000,115000,329620
512,2019-04-22,118000,1000,118000,120500,117000,457505
511,2019-04-23,116500,1500,118500,119500,116000,259471
508,2019-04-24,118000,1500,117500,118500,115500,443136
507,2019-04-25,116000,2000,117500,118000,115000,292233
506,2019-04-26,115000,1000,115500,117500,113000,366725
505,2019-04-29,119500,4500,115500,119500,114000,512703
504,2019-04-30,120000,500,119000,121000,118500,494890
500,2019-05-02,123000,3000,120000,124500,119500,742545
499,2019-05-03,128000,5000,126000,129000,125500,1098989
498,2019-05-07,127500,500,126000,130000,126000,664716
497,2019-05-08,128500,1000,126500,130000,125500,700167
496,2019-05-09,126500,2000,133500,133500,126500,1352763
493,2019-05-10,130000,3500,128500,131000,127500,1006921
492,2019-05-13,128500,1500,130500,130500,127000,584824
491,2019-05-14,134000,5500,127000,135000,126500,1360661
490,2019-05-15,132000,2000,135500,136000,130000,1241060
489,2019-05-16,133500,1500,132500,134000,130500,558891
485,2019-05-17,124500,9000,129000,129500,124000,5222004
484,2019-05-20,126500,2000,126500,128500,125500,899474
483,2019-05-21,125000,1500,126500,127500,125000,694961
482,2019-05-22,125500,500,125500,126500,121500,840648
481,2019-05-23,124000,1500,125000,127000,123500,425136
478,2019-05-24,124000,0,123000,124000,120500,766145
477,2019-05-27,122000,2000,125000,126500,120500,550142
476,2019-05-28,123000,1000,121000,125000,120500,565899
475,2019-05-29,121500,1500,122500,123500,120500,323116
474,2019-05-30,124500,3000,122000,125500,122000,460680
470,2019-05-31,124500,0,124000,126000,123000,325040
469,2019-06-03,122500,2000,123500,125500,122000,316035
468,2019-06-04,119500,3000,122500,124000,116500,847685
467,2019-06-05,120500,1000,121000,121500,119500,307665
466,2019-06-07,120000,500,120000,120500,117500,537162
463,2019-06-10,124000,4000,120000,125000,119000,506951
462,2019-06-11,124500,500,124000,125000,122500,244302
461,2019-06-12,124000,500,124500,125000,122500,212619
460,2019-06-13,126500,2500,124000,127500,123500,747390
459,2019-06-14,125000,1500,127000,128000,124500,357300
455,2019-06-17,121500,3500,125000,125000,121000,349662
454,2019-06-18,121000,500,121500,123000,120000,344107
453,2019-06-19,122000,1000,122500,122500,121000,178919
452,2019-06-20,122000,0,122000,124000,120000,287954
451,2019-06-21,126500,4500,124500,128000,124000,808423
448,2019-06-24,126000,500,127000,128000,125500,306333
447,2019-06-25,130500,4500,129000,131000,127500,956899
446,2019-06-26,129500,1000,131000,132500,129000,516097
445,2019-06-27,131500,2000,131000,133500,130000,704159
444,2019-06-28,131500,0,131500,133000,130000,362354
440,2019-07-01,129500,2000,132500,133000,129000,433735
439,2019-07-02,131500,2000,129500,131500,128000,264488
438,2019-07-03,131000,500,131500,132000,130000,300667
437,2019-07-04,132500,1500,131000,132500,129500,362634
436,2019-07-05,133500,1000,133000,134000,131500,458417
433,2019-07-08,128000,5500,133500,133500,128000,581000
432,2019-07-09,131000,3000,128500,132000,128000,463640
431,2019-07-10,131000,0,132000,132000,129000,312943
430,2019-07-11,130500,500,131000,133000,130500,525918
429,2019-07-12,131500,1000,131000,132500,129500,300566
425,2019-07-15,133000,1500,132500,136000,131000,783546
424,2019-07-16,133000,0,133500,134000,132000,323628
423,2019-07-17,131000,2000,132000,132500,129500,328637
422,2019-07-18,131500,500,130500,132500,130500,170819
421,2019-07-19,135000,3500,132000,135500,131500,656218
418,2019-07-22,134000,1000,134500,136000,133500,408551
417,2019-07-23,136000,2000,134000,136500,133000,469494
416,2019-07-24,136000,0,136000,138000,134000,692256
415,2019-07-25,131000,5000,136000,136000,128000,1295817
414,2019-07-26,131000,0,129000,132000,127000,701403
410,2019-07-29,129000,2000,130000,132000,128000,368682
409,2019-07-30,126000,3000,128500,129500,126000,467439
408,2019-07-31,127000,1000,125000,128000,124500,294609
407,2019-08-01,126500,500,126000,128500,125500,249194
406,2019-08-02,128500,2000,126000,130000,123500,444403
403,2019-08-05,122500,6000,128000,129000,121500,597268
402,2019-08-06,122000,500,118500,124500,117500,714349
401,2019-08-07,123500,1500,124500,125000,121500,424495
400,2019-08-08,127000,3500,128000,129000,125500,956084
399,2019-08-09,132000,5000,128000,133000,127500,780515
395,2019-08-12,130000,2000,133000,133500,129500,265084
394,2019-08-13,131500,1500,130000,132500,129000,361927
393,2019-08-14,130500,1000,133000,133000,129000,338519
392,2019-08-16,129500,1000,129500,130000,128000,300046
391,2019-08-19,130500,1000,130500,131500,129500,222446
388,2019-08-20,132000,1500,131000,132000,129500,369383
387,2019-08-21,131500,500,131000,133000,130500,284628
386,2019-08-22,133000,1500,131500,135000,131500,597184
385,2019-08-23,133000,0,132000,133500,130500,414033
384,2019-08-26,132500,500,130000,133000,129500,374958
380,2019-08-27,134000,1500,133500,135000,133000,499775
379,2019-08-28,133500,500,134000,135000,132500,255507
378,2019-08-29,133000,500,133000,133500,131000,351957
377,2019-08-30,134500,1500,134000,135500,134000,402408
376,2019-09-02,137000,2500,134000,137500,133500,575791
373,2019-09-03,137500,500,137500,138000,136000,291503
372,2019-09-04,138500,1000,137000,139000,136500,431250
371,2019-09-05,135000,3500,138000,139000,134500,598646
370,2019-09-06,136000,1000,135000,136500,135000,191271
369,2019-09-09,133000,3000,135000,135500,132000,673204
365,2019-09-10,135500,2500,133000,135500,132500,310565
364,2019-09-11,133000,2500,135500,136000,133000,734465
363,2019-09-16,132000,1000,134500,135000,131000,413424
362,2019-09-17,132000,0,132000,134000,132000,326141
361,2019-09-18,137000,5000,133000,137000,133000,684630
358,2019-09-19,135500,1500,136500,137500,135000,242822
357,2019-09-20,135500,0,135500,135500,133000,358235
356,2019-09-23,134500,1000,135000,136500,134500,207227
355,2019-09-24,138000,3500,135000,138000,134500,466753
354,2019-09-25,136000,2000,137500,138500,136000,301919
350,2019-09-26,136500,500,137000,137500,135000,210766
349,2019-09-27,135500,1000,136500,136500,134500,168760
348,2019-09-30,135500,0,134500,136000,134000,202006
347,2019-10-01,137500,2000,136000,138000,136000,252319
346,2019-10-02,135500,2000,136500,137000,135500,152309
343,2019-10-04,133500,2000,134500,136000,133500,238417
342,2019-10-07,134500,1000,134000,135000,133000,344020
341,2019-10-08,134500,0,134500,135000,133500,224907
340,2019-10-10,136500,2000,133000,137000,132500,694345
339,2019-10-11,135000,1500,136500,137500,134500,238584
335,2019-10-14,134500,500,136000,136500,134000,317555
334,2019-10-15,134000,500,135000,135000,133000,190243
333,2019-10-16,132000,2000,134000,134500,128500,753513
332,2019-10-17,130500,1500,131500,132500,129000,618170
331,2019-10-18,132500,2000,131000,133500,131000,332984
328,2019-10-21,133500,1000,132500,134000,131000,214102
327,2019-10-22,136000,2500,134000,136000,134000,337570
326,2019-10-23,140000,4000,136000,140000,135500,1045771
325,2019-10-24,139500,500,140500,142000,139000,490092
324,2019-10-25,140000,500,140000,141000,139500,196552
320,2019-10-28,140000,0,142000,145000,139500,665988
319,2019-10-29,139500,500,141500,142000,138000,367213
318,2019-10-30,138000,1500,140500,140500,137500,251362
317,2019-10-31,141500,3500,139000,144000,138500,726151
316,2019-11-01,145500,4000,142500,146000,142000,717046
313,2019-11-04,146500,1000,146500,147500,145500,436509
312,2019-11-05,148500,2000,146000,149000,145500,502806
311,2019-11-06,151000,2500,149000,151000,148000,516744
310,2019-11-07,151000,0,152000,154500,147000,1222184
309,2019-11-08,152000,1000,152000,155000,151000,900774
305,2019-11-11,154000,2000,153000,155000,152000,509809
304,2019-11-12,153500,500,154000,154500,152000,396292
303,2019-11-13,153500,0,152500,154000,151000,376959
302,2019-11-14,154500,1000,154500,155000,152000,651414
301,2019-11-15,155500,1000,154500,155500,153500,281084
298,2019-11-18,157500,2000,155500,158000,155500,372362
297,2019-11-19,156500,1000,157500,157500,155500,323233
296,2019-11-20,156500,0,156000,159000,155500,332676
295,2019-11-21,154000,2500,156500,157000,151000,666854
294,2019-11-22,153000,1000,153000,155500,152000,335038
290,2019-11-25,156500,3500,153500,156500,153500,300270
289,2019-11-26,157500,1000,157000,158500,156500,361401
288,2019-11-27,157500,0,158500,159000,156500,294619
287,2019-11-28,157000,500,156500,157500,155500,218221
286,2019-11-29,155500,1500,156000,159000,153500,471253
283,2019-12-02,156500,1000,156000,156500,153500,250192
282,2019-12-03,157000,500,155500,157000,154000,235453
281,2019-12-04,156000,1000,156000,156000,154500,233141
280,2019-12-05,149500,6500,155500,156000,148500,841460
279,2019-12-06,153500,4000,149000,154000,149000,415390
275,2019-12-09,151500,2000,154000,154500,151000,267330
274,2019-12-10,149500,2000,150000,151500,147000,516074
273,2019-12-11,150000,500,150500,150500,147500,480071
272,2019-12-12,149500,500,151000,151500,149000,710378
271,2019-12-13,151000,1500,150500,151000,148500,456822
268,2019-12-16,151500,500,151000,152000,150000,297095
267,2019-12-17,150500,1000,151500,152000,149500,275832
266,2019-12-18,151000,500,150500,152000,149500,252752
265,2019-12-19,150000,1000,150500,151000,149000,175849
264,2019-12-20,150000,0,150000,153000,149500,545445
260,2019-12-23,148500,1500,151000,151000,148000,283403
259,2019-12-24,146500,2000,148000,150000,144500,367817
258,2019-12-26,148000,1500,146000,148000,146000,320921
257,2019-12-27,153500,5500,149500,154000,149000,690548
256,2019-12-30,153500,0,154000,155000,153000,428587
253,2020-01-02,152500,1000,154000,154500,152000,241047
252,2020-01-03,152500,0,153500,155000,151000,314848
251,2020-01-06,154500,2000,150500,155000,150000,393715
250,2020-01-07,160000,5500,155000,160000,154500,840186
249,2020-01-08,159500,500,158500,162000,156500,851619
245,2020-01-09,164000,4500,163500,165500,162500,878319
244,2020-01-10,165000,1000,165000,166500,163000,401906
243,2020-01-13,167000,2000,165500,167500,165000,475667
242,2020-01-14,167000,0,167500,168500,165500,423286
241,2020-01-15,170000,3000,167000,170500,166500,462119
238,2020-01-16,171500,1500,170000,172000,170000,260049
237,2020-01-17,168500,3000,171500,172500,168000,354724
236,2020-01-20,168500,0,169000,170000,167000,380510
235,2020-01-21,165000,3500,168500,169000,163500,389155
234,2020-01-22,166000,1000,166000,169000,164500,504350
230,2020-01-23,165500,500,168000,168000,164500,323420
229,2020-01-28,162500,3000,160000,163500,159500,513228
228,2020-01-29,163500,1000,165500,166000,162500,255167
227,2020-01-30,162000,1500,163000,165500,160500,418908
226,2020-01-31,159000,3000,162500,164000,158500,346067
223,2020-02-03,159500,500,156000,160500,156000,423907
222,2020-02-04,164500,5000,161500,165500,160500,394773
221,2020-02-05,163000,1500,166500,167000,161500,456954
220,2020-02-06,166000,3000,165500,168000,163500,552044
219,2020-02-07,167500,1500,167000,170500,166000,522100
215,2020-02-10,169000,1500,167500,169500,166000,375209
214,2020-02-11,170000,1000,169000,170000,168000,307120
213,2020-02-12,172000,2000,169500,172000,168000,407917
212,2020-02-13,179000,7000,174500,181500,173500,1877980
211,2020-02-14,180000,1000,181000,184500,179000,948085
208,2020-02-17,180500,500,180000,182000,179000,329408
207,2020-02-18,182000,1500,180500,183500,179000,587253
206,2020-02-19,190000,8000,184000,190500,183500,1362998
205,2020-02-20,190500,500,190500,191500,188000,547405
204,2020-02-21,189500,1000,188500,191500,187500,558497
200,2020-02-24,183500,6000,184500,186000,182000,792733
199,2020-02-25,185500,2000,182000,186000,180000,596763
198,2020-02-26,184000,1500,183500,185500,181500,516378
197,2020-02-27,178500,5500,184000,185500,176500,785062
196,2020-02-28,172000,6500,174500,176500,170500,1022917
193,2020-03-02,175000,3000,174500,176500,169500,793495
192,2020-03-03,175000,0,180500,181000,175000,629017
191,2020-03-04,179500,4500,174000,181000,174000,709188
190,2020-03-05,179500,0,182500,183000,176500,821744
189,2020-03-06,175500,4000,176500,178500,174000,568424
185,2020-03-09,167500,8000,171000,171500,166000,805638
184,2020-03-10,173000,5500,164500,174500,164000,950875
183,2020-03-11,169000,4000,172000,174500,167000,550227
182,2020-03-12,161000,8000,167000,169000,158500,1218070
181,2020-03-13,159000,2000,150000,161500,145000,1601985
178,2020-03-16,147500,11500,162000,164000,147500,1252484
177,2020-03-17,147500,0,141000,150500,140000,1221046
176,2020-03-18,141000,6500,148500,152000,140500,1107527
175,2020-03-19,134000,7000,145500,147000,127500,2157141
174,2020-03-20,149500,15500,138000,151000,134500,1765756
170,2020-03-23,143500,6000,138000,148000,137500,1569378
169,2020-03-24,154500,11000,150500,155000,147000,1271387
168,2020-03-25,154500,0,160500,162500,151000,1290376
167,2020-03-26,150500,4000,155000,156000,150000,893688
166,2020-03-27,152500,2000,156500,157000,149000,958988
163,2020-03-30,153000,500,149500,154500,147500,668254
162,2020-03-31,155500,2500,155000,159000,152000,1042474
161,2020-04-01,150500,5000,156000,158500,150000,794295
160,2020-04-02,157000,6500,152000,157000,149000,1043790
159,2020-04-03,157500,500,158500,159000,155000,545749
155,2020-04-06,160500,3000,158500,161000,157500,807805
154,2020-04-07,160000,500,163500,164500,158500,920798
153,2020-04-08,158000,2000,159000,160500,158000,738303
152,2020-04-09,158000,0,161000,161000,157500,726920
151,2020-04-10,161000,3000,158500,161500,157000,753323
148,2020-04-13,157500,3500,161000,161000,157000,470251
147,2020-04-14,159500,2000,159500,160500,158000,430759
146,2020-04-16,165500,6000,159000,167000,158500,1005533
145,2020-04-17,172000,6500,169000,172500,167500,947794
144,2020-04-20,175000,3000,172500,179000,172000,859303
140,2020-04-21,175500,500,176500,177500,168500,1232126
139,2020-04-22,177000,1500,174000,177000,171500,686146
138,2020-04-23,185500,8500,181500,186500,180500,1509799
137,2020-04-24,183000,2500,184500,188500,182000,1073684
136,2020-04-27,184000,1000,183000,187000,181500,721963
133,2020-04-28,185000,1000,185500,186500,181500,668638
132,2020-04-29,184000,1000,184000,186500,182500,659512
131,2020-05-04,186500,2500,181500,190000,180000,1019409
130,2020-05-06,199500,13000,189000,200000,188000,2035947
129,2020-05-07,206000,6500,199500,207500,198500,2629709
125,2020-05-08,206000,0,206500,210000,204000,1405404
124,2020-05-11,207500,1500,207000,211500,206500,1048413
123,2020-05-12,214500,7000,209000,216500,206000,1563095
122,2020-05-13,216500,2000,211500,216500,211500,1113608
121,2020-05-14,225000,8500,216000,228000,214000,1459813
118,2020-05-15,221500,3500,228500,231500,216000,1524083
117,2020-05-18,221000,500,221500,225500,218500,744533
116,2020-05-19,220000,1000,221500,222500,214000,1308903
115,2020-05-20,231500,11500,223500,234500,222000,1773960
114,2020-05-21,237500,6000,237500,240000,234500,1408737
110,2020-05-22,247000,9500,237500,248500,235000,1887064
109,2020-05-25,268000,21000,251000,270000,249000,2653776
108,2020-05-26,270000,2000,273500,279500,261000,3274293
107,2020-05-27,260500,9500,262000,267000,257000,2015974
106,2020-05-28,267000,6500,257500,270000,252500,2495048
103,2020-05-29,263500,3500,263500,267500,257500,1645822
102,2020-06-01,264000,500,263500,266000,259500,1083698
101,2020-06-02,259500,4500,262500,263000,257000,978846
100,2020-06-03,249500,10000,259500,261500,247500,2302391
99,2020-06-04,254000,4500,247500,257000,247000,1228950
95,2020-06-05,251000,3000,253000,253500,247500,1007264
94,2020-06-08,256500,5500,252500,258000,248500,1417078
93,2020-06-09,254500,2000,255500,259500,252500,834862
92,2020-06-10,262000,7500,256500,263500,256500,1575452
91,2020-06-11,265000,3000,264000,268000,261000,1724551
88,2020-06-12,266000,1000,256500,268000,256000,1688975
87,2020-06-15,252500,13500,266000,271000,250000,1549230
86,2020-06-16,263000,10500,260500,263000,258000,915456
85,2020-06-17,263000,0,261500,268000,258000,1162204
84,2020-06-18,263500,500,264500,267000,260500,981144
80,2020-06-19,263500,0,267500,269500,262000,920126
79,2020-06-22,274000,10500,263500,276000,260500,2008656
78,2020-06-23,281500,7500,279000,289000,277000,2166267
77,2020-06-24,282500,1000,281500,284000,275000,1081233
76,2020-06-25,274500,8000,278500,282000,273500,900258
73,2020-06-26,274500,0,279500,280000,268000,812726
72,2020-06-29,267500,7000,269000,273500,266000,778818
71,2020-06-30,267500,0,272000,273000,267500,624089
70,2020-07-01,269500,2000,271500,275000,267500,578023
69,2020-07-02,285500,16000,273500,285500,273000,1378545
65,2020-07-03,294000,8500,289500,297000,284000,1604493
64,2020-07-06,300500,6500,298000,307500,297000,1344851
63,2020-07-07,310500,10000,306500,318000,304000,1552820
62,2020-07-08,328000,17500,312000,328000,305000,1869663
61,2020-07-09,355500,27500,335000,355500,332000,2463503
58,2020-07-10,355500,0,351000,368000,345500,2566935
57,2020-07-13,352000,3500,359000,361000,345000,1391744
56,2020-07-14,343000,9000,340500,346500,340000,1212519
55,2020-07-15,337500,5500,344000,349500,332000,1487417
54,2020-07-16,322000,15500,332000,335500,319000,1941508
50,2020-07-17,325000,3000,319000,327000,314000,1268587
49,2020-07-20,310000,15000,325000,325000,310000,1534422
48,2020-07-21,316000,6000,323500,326000,311500,1676630
47,2020-07-22,318000,2000,310500,321500,306000,1159298
46,2020-07-23,329500,11500,316500,329500,315000,1260435
43,2020-07-24,324500,5000,325000,333000,322000,907643
42,2020-07-27,326500,2000,321000,329500,320500,603322
41,2020-07-28,329500,3000,332000,336000,328500,873063
40,2020-07-29,331500,2000,329000,333000,325000,618435
39,2020-07-30,332000,500,336000,337000,331500,615872
35,2020-07-31,343500,11500,336000,344000,335500,1078837
34,2020-08-03,366000,22500,347500,366000,347000,1636803
33,2020-08-04,370000,4000,378500,384000,361000,1714642
32,2020-08-05,370500,500,366000,371000,362500,1075879
31,2020-08-06,364000,6500,358500,372500,357500,1848898
28,2020-08-07,353000,11000,368000,370000,350500,1899111
27,2020-08-10,356000,3000,346000,358500,341500,1086391
26,2020-08-11,352500,3500,351500,357000,347500,750285
25,2020-08-12,354000,1500,348500,356500,347500,729434
24,2020-08-13,360500,6500,359000,365000,356500,1117859
20,2020-08-14,362500,2000,361000,366000,358000,825802
